date,symbol
06-01-2026 9:15 am,	SONACOMS
08-01-2026 9:15 am,	SONACOMS
09-01-2026 9:15 am,	SONACOMS
02-03-2026 9:15 am,	TATACONSUM
04-03-2026 9:15 am,	TATACONSUM
28-11-2025 9:15 am,	TATAELXSI
01-12-2025 9:15 am,	TATAELXSI
