Stock|Date|BuyPrice|sl|tsl|target|high|Points|Points %|status|tslStatus|triggerTime|exitTime|pattern|strategy
LTF|2025-11-03T09:15:00+05:30|276.3|269.9|282.7|303.93|284.45|6.40000000000003|2.31632283749549|Profit|SL hit|2025-11-03T09:38:00+05:30|2025-11-04T10:15:00+05:30|StrongBullish,RisingWindow|HCB Buy
LTF|2025-11-03T09:15:00+05:30|276.3|269.9|282.7|303.93|284.45|6.40000000000003|2.31632283749549|Profit|SL hit|2025-11-03T09:38:00+05:30|2025-11-04T10:15:00+05:30|StrongBullish,RisingWindow|Hourly Support Buy
MOSCHIP|2025-10-16T09:15:00+05:30|270.34|264.08|276.6|297.374|278.7|6.25999999999999|2.31560257453577|Profit|SL hit|2025-10-16T09:30:00+05:30|2025-10-16T09:51:00+05:30|No15mData|HCB Buy
OLECTRA|2025-10-29T09:15:00+05:30|1525.5|1490.2|1560.8|1678.05|1573.8|35.3|2.31399541134054|Profit|SL hit|2025-10-29T09:30:00+05:30|2025-10-31T14:18:00+05:30|No15mData|HCB Buy
MARICO|2026-02-05T09:15:00+05:30|748.8|731.5|766.1|823.68|772.25|17.3|2.31036324786324|Profit|SL hit|2026-02-05T09:30:00+05:30|2026-02-11T15:29:00+05:30|StrongBullish,RisingWindow,ThreeInsideUp|HCB Buy
MARICO|2026-02-05T09:15:00+05:30|748.8|731.5|766.1|823.68|772.25|17.3|2.31036324786324|Profit|SL hit|2026-02-05T09:30:00+05:30|2026-02-11T15:29:00+05:30|StrongBullish,RisingWindow,ThreeInsideUp|Hourly Support Buy
TFCILTD|2026-02-04T09:15:00+05:30|65.91|64.39|67.43|72.501|67.88|1.52|2.30617508724017|Profit|SL hit|2026-02-04T09:32:00+05:30|2026-02-04T10:02:00+05:30|No15mData|HCB Buy
FORTIS|2026-02-09T09:15:00+05:30|865.55|853.2|885.5|952.105|897.85|19.9500000000002|2.30489284270119|Profit|SL hit|2026-02-09T09:32:00+05:30|2026-02-10T09:17:00+05:30|-|HCB Buy
QUADFUTURE|2026-01-02T09:15:00+05:30|336.05|328.35|343.75|369.655|346.5|7.69999999999999|2.29132569558101|Profit|SL hit|2026-01-02T09:30:00+05:30|2026-01-02T09:39:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
RITES|2025-12-23T09:15:00+05:30|239.99|234.5|245.48|263.989|248|5.49000000000001|2.28759531647152|Profit|SL hit|2025-12-23T09:56:00+05:30|2025-12-23T11:47:00+05:30|RisingWindow,BullMatHold|HCB Buy
GAEL|2025-12-31T09:15:00+05:30|135.1|132.01|138.19|148.61|138.99|3.09|2.28719467061436|Profit|SL hit|2025-12-31T09:30:00+05:30|2025-12-31T11:17:00+05:30|No15mData|HCB Buy
HDFCGOLD|2025-09-05T15:00:00+05:30|91.5|91.32|93.59|100.65|93.77|2.08999999999999|2.28415300546447|Profit|SL hit|2025-09-05T15:18:00+05:30|2025-09-08T09:16:00+05:30|StrongBullish|Hourly Support Buy
EMIL|2025-10-08T09:15:00+05:30|143.37|140.1|146.64|157.707|149|3.27000000000001|2.28081188533167|Profit|SL hit|2025-10-08T09:30:00+05:30|2025-10-08T09:41:00+05:30|No15mData|Hourly Support Buy
ENGINERSIN|2026-02-09T09:15:00+05:30|176.51|172.5|180.52|194.161|181.9|4.00999999999999|2.27182595886918|Profit|SL hit|2026-02-09T09:31:00+05:30|2026-02-09T15:28:00+05:30|StrongBullish,BullMatHold|HCB Buy
RGL|2025-10-17T15:00:00+05:30|134.9|131.86|137.96|148.39|141|3.06|2.26834692364715|Profit|SL hit|2025-10-20T09:15:00+05:30|2025-10-20T15:15:00+05:30|-|Hourly Support Buy
PWL|2025-12-22T09:15:00+05:30|135.9|132.83|138.97|149.49|139.99|3.06999999999999|2.25901398086828|Profit|SL hit|2025-12-22T10:02:00+05:30|2025-12-22T10:09:00+05:30|StrongBullish,BullKicker,RisingWindow,MorningStar|HCB Buy
MCX|2025-11-26T09:15:00+05:30|2021.8|1976.2|2067.4|2223.98|2085.8|45.5999999999997|2.2554159659709|Profit|SL hit|2025-11-26T09:30:00+05:30|2025-11-27T10:32:00+05:30|No15mData|HCB Buy
HITECH|2026-02-10T09:15:00+05:30|87.5|85.53|89.47|96.25|91|1.97|2.25142857142857|Profit|SL hit|2026-02-10T09:41:00+05:30|2026-02-10T09:54:00+05:30|RisingWindow|HCB Buy
