Stock|Date|BuyPrice|sl|tsl|target|high|Points|Points %|status|tslStatus|triggerTime|exitTime|pattern|strategy
INOXGREEN|2025-10-28T09:15:00+05:30|261.85|257.51|265.105|288.035|266.46|3.255|1.24307809814779|Profit|SL hit|2025-10-28T09:30:00+05:30|2025-10-28T10:03:00+05:30|StrongBullish,RisingWindow,BullMatHold|HCB Buy
JAMNAAUTO|2026-01-06T09:15:00+05:30|135.57|132.2|137.255|149.127|138.5|1.685|1.24290034668437|Profit|SL hit|2026-01-06T09:30:00+05:30|2026-01-07T10:11:00+05:30|RisingWindow|HCB Buy
JAMNAAUTO|2026-01-06T09:15:00+05:30|135.57|132.2|137.255|149.127|138.5|1.685|1.24290034668437|Profit|SL hit|2026-01-06T09:30:00+05:30|2026-01-07T10:11:00+05:30|RisingWindow|Hourly Support Buy
VMM|2026-02-24T09:15:00+05:30|122.34|119.3|123.86|134.574|124.99|1.52000000000001|1.24243910413602|Profit|SL hit|2026-02-24T09:46:00+05:30|2026-02-24T10:11:00+05:30|BullKicker,RisingWindow|HCB Buy
RVNL|2026-02-23T09:15:00+05:30|313.9|310|317.8|345.29|319.35|3.89999999999998|1.24243389614526|Profit|SL hit|2026-02-23T10:09:00+05:30|2026-02-23T12:04:00+05:30|Doji,BullKicker,RisingWindow|HCB Buy
ICICIBANK|2026-01-05T09:15:00+05:30|1369.6|1352.6|1386.6|1506.56|1392.4|17|1.24123831775701|Profit|SL hit|2026-01-05T09:59:00+05:30|2026-01-06T09:20:00+05:30|StrongBullish,RisingWindow,MorningStar,ThreeInsideUp|HCB Buy
AUROPHARMA|2026-03-10T09:15:00+05:30|1270|1249|1285.75|1397|1291.8|15.75|1.24015748031496|Profit|SL hit|2026-03-10T09:30:00+05:30|2026-03-10T15:27:00+05:30|RisingWindow|HCB Buy
HINDCOPPER|2025-12-01T09:15:00+05:30|336.8|331.25|340.9625|370.48|343|4.16250000000002|1.23589667458433|Profit|SL hit|2025-12-01T09:51:00+05:30|2025-12-01T10:37:00+05:30|VeryBullish,Hammer,BullKicker,RisingWindow|HCB Buy
IREDA|2026-01-02T09:15:00+05:30|141.8|140.05|143.55|155.98|144.18|1.75|1.23413258110014|Profit|SL hit|2026-01-02T10:14:00+05:30|2026-01-02T10:26:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
FORTIS|2026-02-11T09:15:00+05:30|912.7|890.2|923.95|1003.97|930.9|11.25|1.23260655198861|Profit|SL hit|2026-02-11T09:32:00+05:30|2026-02-11T10:41:00+05:30|No15mData|HCB Buy
BEL|2026-01-28T09:15:00+05:30|422.5|417.3|427.7|464.75|431|5.19999999999999|1.23076923076923|Profit|SL hit|2026-01-28T09:47:00+05:30|2026-01-28T11:18:00+05:30|No15mData|HCB Buy
ZAGGLE|2026-02-10T09:15:00+05:30|294.7|287.45|298.325|324.17|301.6|3.625|1.23006447234476|Profit|SL hit|2026-02-10T09:35:00+05:30|2026-02-10T10:33:00+05:30|StrongBullish,RisingWindow|HCB Buy
PGEL|2025-11-20T09:15:00+05:30|585.4|578.2|592.6|643.94|596.75|7.19999999999993|1.22992825418516|Profit|SL hit|2025-11-20T09:30:00+05:30|2025-11-20T12:31:00+05:30|No15mData|HCB Buy
AVANTEL|2026-03-06T09:15:00+05:30|145.57|141.99|147.36|160.127|148.79|1.78999999999999|1.22964896613313|Profit|SL hit|2026-03-06T09:31:00+05:30|2026-03-06T09:55:00+05:30|RisingWindow,BullMatHold,ThreeOutsideUp|HCB Buy
AVANTEL|2026-03-06T09:15:00+05:30|145.57|141.99|147.36|160.127|148.79|1.78999999999999|1.22964896613313|Profit|SL hit|2026-03-06T09:31:00+05:30|2026-03-06T09:55:00+05:30|RisingWindow,BullMatHold,ThreeOutsideUp|Hourly Support Buy
VEDL|2026-01-28T09:15:00+05:30|728|710.1|736.95|800.8|741.95|8.95000000000005|1.22939560439561|Profit|SL hit|2026-01-28T09:31:00+05:30|2026-01-28T12:49:00+05:30|No15mData|HCB Buy
GSFC|2025-11-17T09:15:00+05:30|195.25|192.85|197.65|214.775|199|2.40000000000001|1.2291933418694|Profit|SL hit|2025-11-17T09:37:00+05:30|2025-11-17T09:59:00+05:30|StrongBullish,BullEngulf|HCB Buy
URBANCO|2025-12-19T09:15:00+05:30|124.53|123|126.06|136.983|126.45|1.53|1.2286196097326|Profit|SL hit|2025-12-19T09:30:00+05:30|2025-12-19T09:54:00+05:30|StrongBullish,ThreeOutsideUp|Hourly Support Buy
JKTYRE|2026-03-18T09:15:00+05:30|424.75|417.8|429.9625|467.225|432.2|5.21249999999998|1.22719246615656|Profit|SL hit|2026-03-18T09:35:00+05:30|2026-03-18T11:00:00+05:30|No15mData|Hourly Support Buy
DRREDDY|2026-01-22T09:15:00+05:30|1217.5|1187.7|1232.4|1339.25|1243|14.9000000000001|1.22381930184806|Profit|SL hit|2026-01-22T09:58:00+05:30|2026-01-23T09:40:00+05:30|No15mData|HCB Buy
ELECTCAST|2026-03-18T09:15:00+05:30|70.84|69.11|71.705|77.924|72.2|0.865000000000009|1.22106154714852|Profit|SL hit|2026-03-18T09:34:00+05:30|2026-03-18T09:46:00+05:30|No15mData|HCB Buy
VBL|2025-10-16T09:15:00+05:30|450.85|445.35|456.35|495.935|458.2|5.5|1.21991793279361|Profit|SL hit|2025-10-16T09:30:00+05:30|2025-10-16T11:03:00+05:30|No15mData|HCB Buy
AVANTEL|2025-10-03T09:15:00+05:30|184.5|180|186.75|202.95|188.5|2.25|1.21951219512195|Profit|SL hit|2025-10-03T09:30:00+05:30|2025-10-03T09:46:00+05:30|BullKicker,RisingWindow,MorningStar|HCB Buy
TATAPOWER|2026-01-29T09:15:00+05:30|360.9|356.5|365.3|396.99|367.5|4.39999999999998|1.21917428650595|Profit|SL hit|2026-01-29T09:41:00+05:30|2026-01-29T14:22:00+05:30|No15mData|HCB Buy
MMTC|2025-12-23T09:15:00+05:30|57.85|56.44|58.555|63.635|58.98|0.705000000000005|1.21866897147797|Profit|SL hit|2025-12-23T09:55:00+05:30|2025-12-23T10:34:00+05:30|RisingWindow|HCB Buy
GSFC|2025-12-30T09:45:00+05:30|182.38|179.42|184.6|200.618|185.7|2.22|1.21723873231714|Profit|SL hit|2025-12-30T10:20:00+05:30|2026-01-05T09:20:00+05:30|-|Hourly Support Buy
CGCL|2026-02-09T09:15:00+05:30|177.88|175|180.04|195.668|180.9|2.16|1.21430177647852|Profit|SL hit|2026-02-09T09:34:00+05:30|2026-02-09T10:58:00+05:30|RisingWindow,ThreeOutsideUp|HCB Buy
DELTACORP|2026-02-10T09:15:00+05:30|68.8|67.69|69.6325|75.68|70.09|0.832499999999996|1.21002906976744|Profit|SL hit|2026-02-10T09:34:00+05:30|2026-02-10T09:49:00+05:30|BullKicker,RisingWindow|HCB Buy
NATIONALUM|2026-01-23T09:15:00+05:30|374.45|365.4|378.975|411.895|382.65|4.52500000000003|1.20843904393111|Profit|SL hit|2026-01-23T09:30:00+05:30|2026-01-23T11:43:00+05:30|No15mData|HCB Buy
CHEMPLASTS|2025-10-15T13:15:00+05:30|369.1|367.65|373.55|406.01|375|4.44999999999993|1.20563532917907|Profit|SL hit|2025-10-15T13:34:00+05:30|2025-10-15T14:26:00+05:30|-|Hourly Support Buy
THOMASCOOK|2025-11-18T09:15:00+05:30|156.99|153.21|158.88|172.689|160.01|1.88999999999999|1.20389833747372|Profit|SL hit|2025-11-18T09:32:00+05:30|2025-11-19T10:24:00+05:30|StrongBullish,BullEngulf,TweezerBottom|HCB Buy
LLOYDSME|2025-12-22T09:15:00+05:30|1334|1301.9|1350.05|1467.4|1359|16.05|1.2031484257871|Profit|SL hit|2025-12-22T09:49:00+05:30|2025-12-22T12:57:00+05:30|BullEngulf|HCB Buy
PNB|2026-02-18T09:15:00+05:30|126.35|124.83|127.87|138.985|128.49|1.52|1.20300751879699|Profit|SL hit|2026-02-18T09:32:00+05:30|2026-02-18T10:15:00+05:30|No15mData|HCB Buy
EUREKAFORB|2025-11-28T09:15:00+05:30|624|614|631.5|686.4|635|7.5|1.20192307692308|Profit|SL hit|2025-11-28T09:32:00+05:30|2025-11-28T10:20:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
PATANJALI|2025-12-18T09:15:00+05:30|549.9|541.1|556.5|604.89|559.4|6.60000000000002|1.20021822149482|Profit|SL hit|2025-12-18T09:30:00+05:30|2025-12-18T10:30:00+05:30|No15mData|HCB Buy
MRPL|2025-10-01T09:15:00+05:30|134.25|132.64|135.86|147.675|136.3|1.61000000000001|1.19925512104284|Profit|SL hit|2025-10-01T09:33:00+05:30|2025-10-01T10:01:00+05:30|No15mData|HCB Buy
BANDHANBNK|2025-12-12T09:15:00+05:30|146.1|145.25|147.85|160.71|148.7|1.75|1.19780971937029|Profit|SL hit|2025-12-12T09:38:00+05:30|2025-12-12T10:09:00+05:30|RisingWindow|HCB Buy
M&MFIN|2025-12-30T09:15:00+05:30|391.35|385.1|396.0375|430.485|398.2|4.6875|1.1977769260253|Profit|SL hit|2025-12-30T10:13:00+05:30|2025-12-30T11:42:00+05:30|-|HCB Buy
NYKAA|2026-02-05T09:15:00+05:30|258.2|252.02|261.29|284.02|263.24|3.08999999999998|1.1967467079783|Profit|SL hit|2026-02-05T10:12:00+05:30|2026-02-05T12:14:00+05:30|BullKicker,RisingWindow|HCB Buy
ELECON|2026-01-07T09:30:00+05:30|499|487.1|504.95|548.9|508.35|5.94999999999999|1.19238476953908|Profit|SL hit|2026-01-07T09:45:00+05:30|2026-01-07T10:09:00+05:30|No15mData|Hourly Support Buy
RICOAUTO|2026-02-25T09:15:00+05:30|129.69|126.6|131.235|142.659|132.49|1.54500000000002|1.19130233634052|Profit|SL hit|2026-02-25T09:37:00+05:30|2026-02-25T11:35:00+05:30|No15mData|HCB Buy
UJJIVANSFB|2026-02-04T09:15:00+05:30|65.08|63.53|65.855|71.588|66.3|0.774999999999992|1.19084204056545|Profit|SL hit|2026-02-04T09:30:00+05:30|2026-02-04T09:50:00+05:30|No15mData|HCB Buy
LICHSGFIN|2026-02-25T09:15:00+05:30|538|531.6|544.4|591.8|548.6|6.39999999999998|1.18959107806691|Profit|SL hit|2026-02-25T09:40:00+05:30|2026-02-25T10:47:00+05:30|No15mData|HCB Buy
AWL|2026-03-20T09:15:00+05:30|181.6|177.28|183.76|199.76|185.26|2.16|1.18942731277533|Profit|SL hit|2026-03-20T09:30:00+05:30|2026-03-20T10:23:00+05:30|BullKicker,RisingWindow|HCB Buy
COFORGE|2025-12-04T09:15:00+05:30|1948.7|1917.8|1971.875|2143.57|1986|23.175|1.18925437471134|Profit|SL hit|2025-12-04T09:51:00+05:30|2025-12-04T13:41:00+05:30|No15mData|HCB Buy
SAIL|2026-01-23T09:15:00+05:30|153.9|151.46|155.73|169.29|156.5|1.83000000000001|1.18908382066278|Profit|SL hit|2026-01-23T09:40:00+05:30|2026-01-23T09:59:00+05:30|No15mData|HCB Buy
RBA|2026-01-14T09:15:00+05:30|68.15|67.07|68.96|74.965|69.48|0.810000000000002|1.1885546588408|Profit|SL hit|2026-01-14T09:47:00+05:30|2026-01-14T15:07:00+05:30|No15mData|HCB Buy
LAURUSLABS|2025-12-19T09:15:00+05:30|1043.4|1018.6|1055.8|1147.74|1064.1|12.4000000000001|1.18842246501822|Profit|SL hit|2025-12-19T09:41:00+05:30|2025-12-22T10:37:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
BHARATFORG|2025-10-16T09:15:00+05:30|1249.8|1230|1264.65|1374.78|1269.9|14.8499999999999|1.18819011041766|Profit|SL hit|2025-10-16T09:32:00+05:30|2025-10-16T09:50:00+05:30|No15mData|HCB Buy
BHARATFORG|2025-10-16T09:15:00+05:30|1249.8|1230|1264.65|1374.78|1269.9|14.8499999999999|1.18819011041766|Profit|SL hit|2025-10-16T09:32:00+05:30|2025-10-16T09:50:00+05:30|No15mData|Hourly Support Buy
ANGELONE|2026-02-10T09:15:00+05:30|275.99|271.62|279.2675|303.589|280.87|3.27750000000003|1.18754302692128|Profit|SL hit|2026-02-10T09:30:00+05:30|2026-02-10T10:14:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
SENORES|2025-11-06T09:15:00+05:30|799|780.05|808.475|878.9|815.75|9.47500000000002|1.18585732165207|Profit|SL hit|2025-11-06T09:30:00+05:30|2025-11-06T09:35:00+05:30|No15mData|HCB Buy
TOUCHWOOD|2025-11-17T09:30:00+05:30|104.99|102.5|106.235|115.489|106.95|1.24499999999999|1.18582722164015|Profit|SL hit|2025-11-17T09:46:00+05:30|2025-11-17T09:57:00+05:30|-|Hourly Support Buy
JAMNAAUTO|2026-02-26T09:15:00+05:30|146.2|144.47|147.93|160.82|148.78|1.72999999999999|1.18331053351573|Profit|SL hit|2026-02-26T09:32:00+05:30|2026-02-26T10:14:00+05:30|No15mData|HCB Buy
QUESS|2025-09-17T09:15:00+05:30|271.05|264.65|274.25|298.155|276.95|3.19999999999999|1.18059398634938|Profit|SL hit|2025-09-17T09:30:00+05:30|2025-09-17T11:20:00+05:30|No15mData|Hourly Support Buy
WAAREEENER|2025-10-15T09:15:00+05:30|3539|3455.5|3580.75|3892.9|3609|41.75|1.17971178298955|Profit|SL hit|2025-10-15T09:30:00+05:30|2025-10-15T10:39:00+05:30|No15mData|HCB Buy
WAAREEENER|2025-10-15T09:15:00+05:30|3539|3455.5|3580.75|3892.9|3609|41.75|1.17971178298955|Profit|SL hit|2025-10-15T09:30:00+05:30|2025-10-15T10:39:00+05:30|No15mData|Hourly Support Buy
CASTROLIND|2025-12-23T09:15:00+05:30|187|184.06|189.205|205.7|190.56|2.20499999999998|1.17914438502673|Profit|SL hit|2025-12-23T09:34:00+05:30|2025-12-23T09:55:00+05:30|RisingWindow,BullMatHold|HCB Buy
SHRINGARMS|2026-01-01T09:15:00+05:30|234.5|228.97|237.265|257.95|239.85|2.76499999999999|1.17910447761193|Profit|SL hit|2026-01-01T09:48:00+05:30|2026-01-01T15:13:00+05:30|No15mData|HCB Buy
VEDL|2025-10-09T09:15:00+05:30|474.8|467.35|480.3875|522.28|483.5|5.58749999999998|1.17681128896377|Profit|SL hit|2025-10-09T09:30:00+05:30|2025-10-09T12:07:00+05:30|No15mData|HCB Buy
NLCINDIA|2026-02-04T09:15:00+05:30|255|252|258|280.5|260|3|1.17647058823529|Profit|SL hit|2026-02-04T09:30:00+05:30|2026-02-04T10:23:00+05:30|No15mData|HCB Buy
HBLENGINE|2025-12-23T09:15:00+05:30|863.3|843|873.45|949.63|881.15|10.15|1.17572107031159|Profit|SL hit|2025-12-23T09:36:00+05:30|2025-12-24T09:22:00+05:30|SpinningTop,BullKicker,RisingWindow|HCB Buy
THYROCARE|2025-10-24T09:15:00+05:30|423.97|417.33|428.95|466.367|431.57|4.98000000000002|1.17461141118476|Profit|SL hit|2025-10-24T09:35:00+05:30|2025-10-27T09:17:00+05:30|BullKicker,RisingWindow|HCB Buy
THYROCARE|2025-10-24T09:15:00+05:30|423.97|417.33|428.95|466.367|431.57|4.98000000000002|1.17461141118476|Profit|SL hit|2025-10-24T09:35:00+05:30|2025-10-27T09:17:00+05:30|BullKicker,RisingWindow|Hourly Support Buy
CHENNPETRO|2025-10-30T09:15:00+05:30|825.9|806.5|835.6|908.49|841|9.69999999999993|1.17447632885336|Profit|SL hit|2025-10-30T09:30:00+05:30|2025-10-30T09:41:00+05:30|No15mData|HCB Buy
MOTILALOFS|2025-12-18T09:15:00+05:30|848.4|835.15|858.3375|933.24|864|9.9375|1.1713224893918|Profit|SL hit|2025-12-18T09:38:00+05:30|2025-12-18T10:29:00+05:30|No15mData|HCB Buy
MOTILALOFS|2025-12-18T09:15:00+05:30|848.4|835.15|858.3375|933.24|864|9.9375|1.1713224893918|Profit|SL hit|2025-12-18T09:38:00+05:30|2025-12-18T10:29:00+05:30|No15mData|Hourly Support Buy
VEDL|2025-10-03T09:15:00+05:30|470|464.5|475.5|517|479.9|5.5|1.17021276595745|Profit|SL hit|2025-10-03T09:48:00+05:30|2025-10-03T12:13:00+05:30|BullKicker,RisingWindow|HCB Buy
PTC|2026-01-22T09:15:00+05:30|157.69|154|159.535|173.459|161|1.845|1.17001712220179|Profit|SL hit|2026-01-22T09:30:00+05:30|2026-01-27T09:16:00+05:30|No15mData|HCB Buy
JINDALSTEL|2026-03-20T09:15:00+05:30|1171.5|1144.1|1185.2|1288.65|1193.6|13.7|1.16944088775075|Profit|SL hit|2026-03-20T09:30:00+05:30|2026-03-20T12:20:00+05:30|Marubozu,BullBeltHold,StrongBullish,BullKicker,RisingWindow|HCB Buy
EIEL|2026-03-18T09:15:00+05:30|150|146.5|151.75|165|152.69|1.75|1.16666666666667|Profit|SL hit|2026-03-18T09:45:00+05:30|2026-03-18T09:48:00+05:30|No15mData|HCB Buy
IFCI|2025-10-10T09:15:00+05:30|58.33|57.65|59.01|64.163|59.2|0.68|1.16578090176581|Profit|SL hit|2025-10-10T09:45:00+05:30|2025-10-10T10:02:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
ABFRL|2025-12-12T09:15:00+05:30|76.39|75.5|77.28|84.029|77.59|0.890000000000001|1.16507396256055|Profit|SL hit|2025-12-12T09:32:00+05:30|2025-12-12T13:19:00+05:30|BullKicker,RisingWindow|HCB Buy
BHARTIARTL|2025-10-27T09:15:00+05:30|2053.9|2030|2077.8|2259.29|2083.9|23.9000000000001|1.16363990457179|Profit|SL hit|2025-10-27T09:38:00+05:30|2025-10-27T10:49:00+05:30|BullBeltHold,StrongBullish,RisingWindow,BullMatHold,ThreeInsideUp|HCB Buy
CONCOR|2025-12-31T09:15:00+05:30|525.5|517.35|531.6125|578.05|534|6.11249999999995|1.16317792578496|Profit|SL hit|2025-12-31T09:33:00+05:30|2026-01-05T09:20:00+05:30|No15mData|HCB Buy
GMRAIRPORT|2026-02-04T09:15:00+05:30|96.2|94.71|97.3175|105.82|97.76|1.11750000000001|1.16164241164242|Profit|SL hit|2026-02-04T09:36:00+05:30|2026-02-04T10:49:00+05:30|No15mData|HCB Buy
IRCTC|2026-02-20T09:15:00+05:30|639.5|624.65|646.925|703.45|651.25|7.42499999999995|1.16106333072712|Profit|SL hit|2026-02-20T09:36:00+05:30|2026-02-20T15:03:00+05:30|BullKicker,RisingWindow|HCB Buy
JAYNECOIND|2026-02-04T09:15:00+05:30|75.5|73.75|76.375|83.05|77|0.875|1.15894039735099|Profit|SL hit|2026-02-04T09:47:00+05:30|2026-02-05T09:16:00+05:30|No15mData|HCB Buy
DCBBANK|2026-01-22T09:15:00+05:30|186|181.69|188.155|204.6|189.45|2.155|1.15860215053764|Profit|SL hit|2026-01-22T09:30:00+05:30|2026-01-22T15:25:00+05:30|No15mData|HCB Buy
ADANIGREEN|2025-12-12T09:15:00+05:30|1036|1024|1048|1139.6|1058.7|12|1.15830115830116|Profit|SL hit|2025-12-12T09:33:00+05:30|2025-12-15T09:42:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
ELECTCAST|2026-02-10T09:15:00+05:30|75.55|73.8|76.425|83.105|77|0.875|1.15817339510258|Profit|SL hit|2026-02-10T09:30:00+05:30|2026-02-10T09:34:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
AXISBANK|2026-01-27T09:15:00+05:30|1308.7|1278.4|1323.85|1439.57|1332|15.1499999999999|1.15763735004202|Profit|SL hit|2026-01-27T09:40:00+05:30|2026-01-27T10:43:00+05:30|BullKicker,RisingWindow|HCB Buy
AXISBANK|2026-01-27T09:15:00+05:30|1308.7|1278.4|1323.85|1439.57|1332|15.1499999999999|1.15763735004202|Profit|SL hit|2026-01-27T09:40:00+05:30|2026-01-27T10:43:00+05:30|BullKicker,RisingWindow|Hourly Support Buy
CDSL|2025-11-20T09:15:00+05:30|1644|1625|1663|1808.4|1668.4|19|1.15571776155718|Profit|SL hit|2025-11-20T09:30:00+05:30|2025-11-20T09:54:00+05:30|No15mData|HCB Buy
QPOWER|2026-02-18T09:15:00+05:30|893.7|873.05|904.025|983.07|914.25|10.325|1.15530938793779|Profit|SL hit|2026-02-18T09:34:00+05:30|2026-02-18T10:43:00+05:30|No15mData|HCB Buy
PNB|2025-12-31T09:15:00+05:30|123.44|121.54|124.865|135.784|125.35|1.425|1.15440699935191|Profit|SL hit|2025-12-31T09:32:00+05:30|2025-12-31T10:47:00+05:30|No15mData|HCB Buy
AEGISVOPAK|2025-09-10T15:00:00+05:30|249.95|244.18|252.835|274.945|254.8|2.88499999999999|1.15423084616923|Profit|SL hit|2025-09-10T15:16:00+05:30|2025-09-10T15:22:00+05:30|-|Hourly Support Buy
HINDCOPPER|2025-12-23T09:15:00+05:30|412|402.5|416.75|453.2|419.7|4.75|1.15291262135922|Profit|SL hit|2025-12-23T09:38:00+05:30|2025-12-24T09:18:00+05:30|BullKicker,RisingWindow|HCB Buy
IRFC|2025-12-22T09:15:00+05:30|115.42|114.09|116.75|126.962|117.8|1.33|1.15231329059088|Profit|SL hit|2025-12-22T09:55:00+05:30|2025-12-22T11:19:00+05:30|BullKicker,RisingWindow|HCB Buy
PFC|2026-02-04T09:15:00+05:30|399.2|390|403.8|439.12|406.6|4.59999999999997|1.15230460921843|Profit|SL hit|2026-02-04T09:55:00+05:30|2026-02-04T11:10:00+05:30|No15mData|HCB Buy
PFC|2026-02-04T09:15:00+05:30|399.2|390|403.8|439.12|406.6|4.59999999999997|1.15230460921843|Profit|SL hit|2026-02-04T09:55:00+05:30|2026-02-04T11:10:00+05:30|No15mData|Hourly Support Buy
ASHOKLEY|2026-01-01T09:15:00+05:30|181.6|178.81|183.6925|199.76|184.65|2.0925|1.1522577092511|Profit|SL hit|2026-01-01T09:31:00+05:30|2026-01-01T12:29:00+05:30|No15mData|HCB Buy
NATIONALUM|2025-10-03T09:15:00+05:30|217|214.5|219.5|238.7|220.8|2.5|1.15207373271889|Profit|SL hit|2025-10-03T09:47:00+05:30|2025-10-03T10:20:00+05:30|RisingWindow,ThreeInsideUp|HCB Buy
NATIONALUM|2026-02-25T09:15:00+05:30|352|346.6|356.05|387.2|357.7|4.04999999999995|1.15056818181817|Profit|SL hit|2026-02-25T09:30:00+05:30|2026-02-25T10:05:00+05:30|No15mData|HCB Buy
BANKINDIA|2025-09-30T09:15:00+05:30|121.7|118.9|123.1|133.87|123.93|1.39999999999999|1.15036976170911|Profit|SL hit|2025-09-30T09:43:00+05:30|2025-10-01T09:15:00+05:30|Marubozu,BullBeltHold,StrongBullish,RisingWindow|HCB Buy
RBLBANK|2025-10-27T09:15:00+05:30|324.5|317.05|328.225|356.95|331.5|3.72500000000002|1.14791987673344|Profit|SL hit|2025-10-27T09:43:00+05:30|2025-10-31T11:29:00+05:30|BullBeltHold,StrongBullish,MorningStar,ThreeInsideUp|HCB Buy
HFCL|2026-03-18T09:15:00+05:30|72.34|71.51|73.17|79.574|73.6|0.829999999999998|1.14735969035112|Profit|SL hit|2026-03-18T09:42:00+05:30|2026-03-18T10:39:00+05:30|No15mData|HCB Buy
TMCV|2026-01-16T09:15:00+05:30|437.5|427.5|442.5|481.25|446.65|5|1.14285714285714|Profit|SL hit|2026-01-16T09:30:00+05:30|2026-01-16T13:24:00+05:30|RisingWindow,ThreeOutsideUp|HCB Buy
BANKBARODA|2025-12-01T09:15:00+05:30|293.35|290|296.7|322.685|297.75|3.35000000000002|1.14198056928584|Profit|SL hit|2025-12-01T09:42:00+05:30|2025-12-01T09:51:00+05:30|RisingWindow|HCB Buy
PFC|2026-01-27T15:15:00+05:30|364.2|360.05|368.35|400.62|369.75|4.14999999999998|1.13948380010982|Profit|SL hit|2026-01-28T09:15:00+05:30|2026-01-28T09:17:00+05:30|StrongBullish|Hourly Support Buy
FEDERALBNK|2025-10-09T09:15:00+05:30|204.48|202.15|206.81|224.928|207.91|2.32999999999998|1.13947574334898|Profit|SL hit|2025-10-09T09:48:00+05:30|2025-10-09T10:33:00+05:30|No15mData|HCB Buy
INDIANB|2025-10-23T09:15:00+05:30|821|811.65|830.35|903.1|838.6|9.35000000000002|1.13885505481121|Profit|SL hit|2025-10-23T09:30:00+05:30|2025-10-23T12:01:00+05:30|No15mData|HCB Buy
SAMBHV|2025-11-03T09:15:00+05:30|113.9|111.31|115.195|125.29|116.25|1.295|1.1369622475856|Profit|SL hit|2025-11-03T09:54:00+05:30|2025-11-04T09:50:00+05:30|-|HCB Buy
GROWW|2026-01-23T09:15:00+05:30|167.8|165.26|169.705|184.58|170.75|1.90500000000003|1.13528009535163|Profit|SL hit|2026-01-23T09:36:00+05:30|2026-01-23T09:48:00+05:30|No15mData|HCB Buy
J&KBANK|2026-03-11T09:15:00+05:30|123.4|120.6|124.8|135.74|125.66|1.40000000000001|1.13452188006483|Profit|SL hit|2026-03-11T10:09:00+05:30|2026-03-11T11:02:00+05:30|No15mData|HCB Buy
AUROPHARMA|2026-02-26T09:15:00+05:30|1227.4|1213.5|1241.3|1350.14|1250.9|13.9000000000001|1.13247515072512|Profit|SL hit|2026-02-26T09:32:00+05:30|2026-02-26T10:00:00+05:30|No15mData|HCB Buy
GRMOVER|2025-11-19T09:15:00+05:30|161.57|157.92|163.395|177.727|164.58|1.82499999999999|1.1295413752553|Profit|SL hit|2025-11-19T10:05:00+05:30|2025-11-19T11:21:00+05:30|No15mData|HCB Buy
CDSL|2026-03-18T09:15:00+05:30|1223.7|1205.3|1237.5|1346.07|1244|13.8|1.12772738416278|Profit|SL hit|2026-03-18T09:30:00+05:30|2026-03-18T14:31:00+05:30|No15mData|HCB Buy
BSE|2025-11-19T09:15:00+05:30|2857.2|2825|2889.4|3142.92|2898.7|32.1999999999998|1.12697746045078|Profit|SL hit|2025-11-19T10:15:00+05:30|2025-11-19T12:30:00+05:30|No15mData|HCB Buy
ENGINERSIN|2025-10-30T09:15:00+05:30|204.9|200.29|207.205|225.39|208.7|2.30500000000001|1.12493899463153|Profit|SL hit|2025-10-30T09:32:00+05:30|2025-10-31T10:15:00+05:30|No15mData|HCB Buy
KTKBANK|2026-02-04T09:15:00+05:30|197.05|192.62|199.265|216.755|201|2.215|1.12408018269475|Profit|SL hit|2026-02-04T09:34:00+05:30|2026-02-04T10:17:00+05:30|No15mData|HCB Buy
TATAINVEST|2025-09-30T10:00:00+05:30|912.8|892.3|923.05|1004.08|928.8|10.25|1.12291849255039|Profit|SL hit|2025-09-30T10:15:00+05:30|2025-09-30T10:19:00+05:30|StrongBullish|Hourly Support Buy
MAHABANK|2025-10-20T09:15:00+05:30|58.23|57.36|58.8825|64.053|59.14|0.652499999999996|1.12055641421947|Profit|SL hit|2025-10-20T09:37:00+05:30|2025-10-20T09:43:00+05:30|RisingWindow,BullMatHold,ThreeInsideUp|HCB Buy
IEX|2026-02-25T09:15:00+05:30|127.05|125.63|128.47|139.755|129|1.42|1.1176702085793|Profit|SL hit|2026-02-25T10:09:00+05:30|2026-02-25T10:24:00+05:30|No15mData|HCB Buy
MCX|2026-01-02T09:15:00+05:30|2240|2190|2265|2464|2278|25|1.11607142857143|Profit|SL hit|2026-01-02T09:32:00+05:30|2026-01-02T09:44:00+05:30|VeryBullish,Hammer,BullKicker,RisingWindow|HCB Buy
MCX|2026-01-02T09:15:00+05:30|2240|2190|2265|2464|2278|25|1.11607142857143|Profit|SL hit|2026-01-02T09:32:00+05:30|2026-01-02T09:44:00+05:30|VeryBullish,Hammer,BullKicker,RisingWindow|Hourly Support Buy
GPPL|2025-12-01T09:15:00+05:30|181|178.98|183.02|199.1|184.5|2.02000000000001|1.11602209944752|Profit|SL hit|2025-12-01T09:31:00+05:30|2025-12-01T09:41:00+05:30|StrongBullish,BullKicker,RisingWindow|HCB Buy
